Topic Name,Date,Class Type,Pre-Note,Post Note
"Lecture 1 : Introduction ","August 24, 2023",Lecture,,https://wpi0-my.sharepoint.com/:b:/g/personal/bislam_wpi_edu/EUMchn_BF0FHgzk-PW23HREBYD9yH2vrh3zEWezvMg4bAQ?e=cVeecP
Lecture 2: Basic of Deep Learning,"August 29, 2023",Lecture,https://wpi0-my.sharepoint.com/:b:/g/personal/bislam_wpi_edu/EZYFH-U7tohEsr7RNPt0F-IBYWY92exqm-_khTl1MiN8xw?e=wpU3RG,https://wpi0-my.sharepoint.com/:b:/g/personal/bislam_wpi_edu/ESWT2_PyB5xBlXrR7w7ubf8BFsjEMD5-D7mr5TXfZiWlgw?e=7NZZn6
Lecture 3: Pruning and Sparsity (Part I),"August 31, 2023",Lecture,https://wpi0-my.sharepoint.com/:b:/g/personal/bislam_wpi_edu/ERdKEBsSCDJHmeYryQRjLycBqbJGSDmQkrymjj_TU0z_vw?e=bezGQX,https://wpi0-my.sharepoint.com/:b:/g/personal/bislam_wpi_edu/EdoZahdPdE9Ml6bF4rU8Cx8BjVMuSlTqvse6lmuH-gG85w?e=Sj54Jf
"Lecture 4: Pruning and Sparsity (Part II) ","September 5, 2023",Lecture,https://wpi0-my.sharepoint.com/:b:/g/personal/bislam_wpi_edu/ER7pOWr2D1ZJt2VUsJx0Zg4BJfn3xB7hKOYaN0MyvvcDbw?e=BnR7Lm,https://wpi0-my.sharepoint.com/:b:/g/personal/bislam_wpi_edu/EfDdxXV4FsRAu-MvNvCRUw8BdDUMPeKH7c5ghGOtS7fESQ?e=a7zPdI
No Class,"September 7, 2023",,,
Paper Presentation 1: Pruning and Sparcification,"September 12, 2023",Paper Presentation,,
Project Proposal Presentation,"September 14, 2023",Project Presentation,,
Assignment 1 goes online,"September 19, 2023",Assignment Release,,
Lecture 5: Quantization (Part I),"September 19, 2023",Lecture,https://wpi0-my.sharepoint.com/:b:/g/personal/bislam_wpi_edu/EcjkmUlpGFNKlbwZldVUlngBKSlMqUStf4B1GWI25v3Lrg?e=KYHvZe,https://wpi0-my.sharepoint.com/:b:/g/personal/bislam_wpi_edu/EbV13_F4QoZBj8xixbzdWMQBMZWLUVz5AMcgEVtH5s8E7g?e=cB8ou1
Lecture 6: Quantization (Part II),"September 21, 2023",Lecture,https://wpi0-my.sharepoint.com/:b:/g/personal/bislam_wpi_edu/ESPot2hXJ5RCs8pDpumWRFYBJ99eOLJKlWN143L9B5NQ1g?e=fDvkoJ,https://wpi0-my.sharepoint.com/:b:/g/personal/bislam_wpi_edu/EVAfBml9j-9CjmU4qcozRTQBQOnPSJyaOjF3q6XWic848A?e=6HwdWa
Paper Presentation 2: Quantization,"September 26, 2023",Paper Presentation,,
Lecture 7: Neural Architecture Search (Part I),"September 28, 2023",Lecture,https://wpi0-my.sharepoint.com/:b:/g/personal/bislam_wpi_edu/EcRRtw7CZ3ZEucb1h2Q81A8BOnq1wtRHXQZTgAv1DK6e8A?e=dqHdhR,https://wpi0-my.sharepoint.com/:b:/g/personal/bislam_wpi_edu/EbQH5uQJX4xBoRkaaKXE0pEBYAviGSzaxJirT_kW5UB9WQ?e=mKhgsj
Lecture 8: Neural Architecture Search (Part II),"October 3, 2023",Lecture,https://wpi0-my.sharepoint.com/:b:/g/personal/bislam_wpi_edu/EW29jWpBh5BEt1Ywb-R5M2gBWczEpDIYt7KCbgD2EGTscA?e=WSka1R,https://wpi0-my.sharepoint.com/:b:/g/personal/bislam_wpi_edu/EQewYR707ZVGoRbNT0WItZEBXXRbqfQnNNIiX3D4yYdFHg?e=h4Ilxd
Paper Presentation 3: Neural Architecture Search,"October 5, 2023",Paper Presentation,,
Assignment 2 Goes Online,"October 10, 2023",Assignment Release,,
Lecture 9: Knowledge Distillation,"October 10, 2023",Lecture,https://wpi0-my.sharepoint.com/:b:/g/personal/bislam_wpi_edu/EYIMSqCPm_tJt-BfVr1EwkoB-dYVjIqtP8ctJbBrixIWsg?e=LXn60C,https://wpi0-my.sharepoint.com/:b:/g/personal/bislam_wpi_edu/EaXUtCEoKSxCigT1ifNZNlEB_TKYCpuiGwR-fPGhphtxrw?e=luAX6d
Assignment 1 Deadline,"October 11, 2023",Assignment Due,,
Paper Presentation 4: Knowledge Distillation,"October 12, 2023",Paper Presentation,,
Lecture 10: Dynamic Network Inference,"October 24, 2023",Lecture,https://wpi0-my.sharepoint.com/:b:/g/personal/bislam_wpi_edu/EWy8L6zeZPhIqD79OINENaIBtOLA6KP_uMGeoJ34km5BBw?e=BAiUCb,https://wpi0-my.sharepoint.com/:b:/g/personal/bislam_wpi_edu/EWy8L6zeZPhIqD79OINENaIBtOLA6KP_uMGeoJ34km5BBw?e=8k0F1a
Lecture 11: Distributed Training,"October 26, 2023",Lecture,https://wpi0-my.sharepoint.com/:b:/g/personal/bislam_wpi_edu/EYSaBtgqRYtAigxrL1m-qHEB8GqUBrMEykBKt2JmwuQgcg?e=AY4MZo,https://wpi0-my.sharepoint.com/:b:/g/personal/bislam_wpi_edu/EZW1mmiud4xLlpJ-ET8ZlaoBs2CHENiDLh4XluswxXX-dg?e=LXMrMh
Paper Presentation 5: Dynamic Network Inference,"October 31, 2023",Paper Presentation,,
